year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2009.8184,,,28.58,
2009.8319,,29.77,,
2009.8455,,,28.24,
2009.859,,26.26,,
2009.8726,,,24.81,
2009.8862,,26.98,,
2009.8998,,,27.44,
2009.9133,,27.8,,
2009.9269,,,26.56,
2009.9405,,27.34,,
2009.954,,,24.69,
2009.9676,,28.02,,
2009.9812,,,29.48,
2009.9948,,27.87,,
2010.0084,,,26.34,
2010.0219,,29.2,,
2010.0355,,,25.82,
2010.0491,,26.35,,
2010.0626,,,24.89,
2010.0762,,22.36,,
2010.0898,,,21.21,
2010.1033,,24.4,,
2010.117,,,25.38,
2010.1305,,28.45,,
2010.1441,,,27.72,
2010.1576,,30.72,,
2010.1712,,,31.35,
2010.185,,30.14,,
2010.1983,,,25.09,
2010.212,,25.93,,
2010.2255,,,25.69,
2010.239,,26.13,,
2010.2527,,,25.46,
2010.2655,,25.78,,
2010.2799,,,28.22,
2010.2935,,31.21,,
2010.3069,,,28.48,
2010.3205,,28.62,,
2010.3341,,,25.73,
2010.3477,,27.33,,
2010.3612,,,25.95,
2010.3748,,28.72,,
2010.3884,,,30.2,
2010.4019,,27.06,,
2010.4155,,,30.13,
2010.4277,,28.03,,
2010.4427,,,30.21,
2010.4562,,29.85,,
2010.4698,,,30.6,
2010.4833,,28.31,,
2010.497,,,30.16,
2010.5105,,26.87,,
2010.5242,,,29.79,
2010.5377,,28.51,,
2010.5513,,,30.2,
2010.5639,,28.56,,
2010.5784,,,28.21,
2010.592,,28.44,,
2010.6055,,,26.47,
2010.6192,,30.9,,
2010.6328,,,27.53,
2010.6463,,27.36,,
2010.6599,,,23.69,
2010.6733,,25.4,,
2010.687,,,25.33,
2010.7006,,25.4,,
2010.7142,,,24.73,
2010.7277,,24.85,,
2010.7414,,,23.85,
2010.7549,,23.32,,
2010.7685,,,24.97,
2010.782,,25.4,,
2010.7956,,,28.21,
2010.8092,,29.01,,
2010.8228,,,26.4,
2010.8364,,28.39,,
2010.8499,,,25.52,
2010.8635,,26.04,,
2010.8771,,,26.74,
2010.8906,,22.11,,
2010.9043,,,22.6,
2010.9178,,20.77,,
2010.9314,,,23.84,
2010.9449,,23.84,,
2010.9586,,,23.49,
2010.9721,,25.84,,
2010.9857,,,25.88,
2010.9993,,25.89,,
2011.0129,,,23.53,
2011.0264,,22.61,,
2011.0399,,,22.89,
2011.0536,,22.44,,
2011.0671,,,24.63,
2011.0807,,25.23,,
2011.0943,,,23.13,
2011.1078,,23.23,,
2011.1214,,,21.98,
2011.135,,23.96,,
2011.1486,,,22.7,
2011.1621,,24.2,,
2011.1757,,,23.31,
2011.1892,,23.2,,
2011.2029,,,23.34,
2011.2164,,22.27,,
2011.23,,,21.23,
2011.2436,,22.96,,
2011.2571,,,23.1,
2011.2705,,23,,
2011.2843,,,23.46,
2011.2978,,22.83,,
2011.3115,,,23.03,
2011.325,,21.44,,
2011.3386,,,20.27,
2011.3521,,21.55,,
2011.3657,,,23.88,
2011.3793,,21.03,,
2011.3929,,,24.81,
2011.4064,,24.16,,
2011.42,,,24.92,
2011.4336,,24.8,,
2011.4471,,,25.58,
2011.4607,,25.61,,
2011.4743,,,27.93,
2011.4879,,25.44,,
2011.5014,,,26.06,
2011.5151,,24.16,,
2011.5286,,,25.25,
2011.5421,,22.06,,
2011.5558,,,24.31,
2011.5693,,24.15,,
2011.583,,,25.19,
2011.5965,,26.03,,
2011.61,,,27.83,
2011.6236,,24.97,,
2011.6372,,,28.09,
2011.6508,,28.92,,
2011.6644,,,27.46,
2011.6778,,26.56,,
2011.6916,,,25.71,
2011.7051,,22.58,,
2011.7187,,,25.25,
2011.7319,,25.67,,
2011.7459,,,27.62,
2011.7591,,27.69,,
2011.773,,,29.89,
2011.7867,,29.51,,
2011.8002,,,30.99,
2011.8137,,25.38,,
2011.8273,,,26.63,
2011.8408,,25.53,,
2011.8544,,,26,
2011.868,,21.83,,
2011.8816,,,26.86,
2011.8952,,26.66,,
2011.9087,,,29.56,
2011.922,,27.84,,
2011.9358,,,30.22,
2011.9495,,28.35,,
2011.9631,,,30.99,
2011.9765,,30.96,,
2011.9902,,,30.57,
2012.0037,,28.11,,
2012.0173,,,32.71,
2012.0309,,29.03,,
2012.0445,,,32.46,
2012.058,,30.73,,
2012.0716,,,33.87,
2012.0849,,31.38,,
2012.0987,,,32.25,
2012.1119,,31.45,,
2012.1258,,,33.67,
2012.127,,30.66,,
2012.1531,,,31.67,
2012.1672,,27.99,,
2012.1802,,,30.97,
2012.2073,,,32.29,
2012.2345,,,34.58,
2012.2616,,,32.44,
2012.2888,,,32.01,
2012.3159,,,32.27,
2012.343,,,33.01,
2012.3645,,35.89,,
2012.3702,,,35.21,
2012.3944,,33.66,,
2012.3973,,,34.42,
2012.4242,,35.84,,
2012.4245,,,33.81,
2012.4517,,,37.43,
2012.454,,38.07,,
2012.4745,,35.24,,
2012.4788,,,35.85,
2012.4949,,36.71,,
2012.506,,,35.44,
2012.5247,,37.4,,
2012.5331,,,38.69,
2012.5546,,40.12,,
2012.5603,,,39.92,
2012.5844,,37.59,,
2012.5874,,,37.88,
2012.6048,,40.23,,
2012.6145,,,37.4,
2012.6252,,35.89,,
2012.6417,,,33.45,
2012.6552,,35.38,,
2012.6688,,,36.13,
2012.6849,,35.69,,
2012.6961,,,35.11,
2012.7147,,37.32,,
2012.7232,,,38.57,
2012.735,,36.05,,
2012.7503,,,38.49,
2012.7555,,38.8,,
2012.7775,,,39.91,
2012.7852,,37.93,,
2012.8046,,,37.17,
2012.8151,,36.18,,
2012.8318,,,36.57,
2012.8355,,37.09,,
2012.8559,,40.31,,
2012.8589,,,38.49,
2012.8858,,39.67,,
2012.8861,,,38.7,
2012.9132,,,37.33,
2012.9156,,37.18,,
2012.9404,,,40.31,
2012.9454,,38.06,,
2012.9658,,34.83,,
2012.9675,,,37.48,
2012.9862,,35.34,,
2012.9946,,,38.36,
2013.0162,,39.12,,
2013.0218,,,38.49,
2013.0459,,37.81,,
2013.0489,,,38.52,
2013.0758,,42.14,,
2013.0761,,,40.71,
2013.0961,,39.66,,
2013.1031,,,39.96,
2013.1167,,40.39,,
2013.1304,,,37.47,
2013.1464,,39.31,,
2013.1575,,,39.24,
2013.1846,,,40.83,
2013.2118,,,39.64,
2013.2196,,36.9,,
2013.2265,,38.45,,
2013.2469,,39.68,,
2013.2765,,36.43,,
2013.2933,,,37.55,
2013.3066,,33.86,,
2013.3204,,,40.21,
2013.3269,,34.85,,
2013.3473,,41.33,,
2013.3475,,,40.55,
2013.3747,,,38.43,
2013.3771,,41.03,,
2013.4018,,,37.73,
2013.407,,39.56,,
